gene,importance
ALKBH7,0.034510093877389104
HES6,0.02975824376335285
ALOX5AP,0.027201833084705623
SHTN1,0.026159109737265922
SIGLEC6,0.023957091817537718
PDLIM1,0.021745923657046022
SIRPG,0.019551511433291167
RAMP1,0.018288290259337456
SLC25A11,0.018232763292645615
SINHCAF,0.018077030963171495
SLC15A4,0.017922541736728116
SKAP2,0.01702483753835781
SLC38A1,0.016922644579617285
SHQ1,0.015403670107760814
PLCG2,0.015154650413616827
SLBP,0.014544447419834256
SIVA1,0.014390811365508422
RPL31,0.013811656931703718
IGLL1,0.013754767913070707
SLC25A5,0.0133256250903036
SLC38A2,0.01307409653243669
SLC3A2,0.012718220587101635
PLVAP,0.011373329824558059
SKP1,0.01084976153769578
SERHL2,0.010353436610075036
SERPINB2,0.00952290750424155
HMSD,0.009483220368869023
SLC25A6,0.009367661026047556
SLC25A3,0.009276967035238283
PTPRE,0.007941348823586483
EEF1B2,0.00791053300066358
DYNLL1,0.007751962053905745
SERPINF1,0.007620185038801468
EIF5A,0.007591293117017527
SCN3A,0.0071223939465370825
IGFBP7,0.006830065178419832
DRAP1,0.006495845181745345
EEF2,0.0061629510141175655
PTBP3,0.005878574436595633
SCT,0.0058692793378010465
EIF3K,0.005669486958180986
HLA-DQA2,0.005588234749520408
PLP2,0.005214769493898658
CHCHD7,0.0051517245588321445
COX7A2,0.005114139171673058
CDC40,0.005066698494304267
ELF1,0.004882730314048084
CKS2,0.004671426129327405
S100A4,0.004614243629268156
LAMP5,0.0044509585790300475
GZMB,0.004373833890210904
PSAP,0.004341708459060614
EIF1,0.004282619663421274
EIF4B,0.004201450539616241
SELL,0.0041758369854371724
EID1,0.004172790272289567
DNAJC7,0.004067900660020785
ARPP21,0.003949379799084873
EIF3M,0.003911496569399604
LILRA4,0.003890931177577174
DPYSL2,0.0038419223089372423
BID,0.0037929475957033526
EIF4EBP1,0.0037049582106812667
DDOST,0.0036634752244062954
EBNA1BP2,0.003633461737815126
EIF4A1,0.003586739470506586
RPS6,0.003564808999880582
DNAJC1,0.003522232391377799
CLEC11A,0.0034623224994516813
ASXL1,0.0034033810069774278
BST2,0.003358112144747237
DNTT,0.003316600185698695
C12orf75,0.0032729040498873526
CCDC167,0.003237484479461571
CALCOCO2,0.0031569640686484987
DSTN,0.00315360492232178
EIF4G1,0.0031086009940213006
DUSP1,0.0030857213597478648
EIF2AK2,0.003082428756276834
EIF4G2,0.0030147623425203942
EEF1A1,0.0030120297547084457
