gene,mean_abs_shap
ALOX5AP,2.2619352
PDLIM1,0.82613933
HES6,0.58451563
ALKBH7,0.46436313
LAMP5,0.41071007
SIGLEC6,0.30355212
SERPINB2,0.10421914
SERHL2,0.09232599
LILRA4,0.04968309
SLC15A4,0.043718047
SIVA1,0.040217742
SKAP2,0.03913246
IGFBP7,0.031486683
ERC2,0.021156587
IRF7,0.02115406
RPL35,0.0152317155
RPS6,0.014279071
GZMB,0.013848451
ARPP21,0.012472733
RPL38,0.007923634
SELL,0.007834562
RPL15,0.0073971483
SCN3A,0.007212223
H3-3A,0.0062771784
H2AZ1,0.00622194
HMGN2,0.006056008
HSP90AA1,0.006028239
MYBPH,0.0056571686
EMB,0.005608077
RPL31,0.0051086126
HNRNPD,0.0050697066
SUSD1,0.005062782
HMGB2,0.004908874
ANKRD12,0.0046584965
HNRNPA1,0.00461557
PCF11,0.004492673
RAMP1,0.0040851203
GXYLT2,0.0033017858
DDAH2,0.0032619538
CDC40,0.0032137765
RPL13,0.0025040351
RPL23,0.0024579996
FYB1,0.002378556
OFD1,0.0022696638
ARID4B,0.0016744781
EEF1B2,0.0016229608
KLF10,0.0014955428
PGLS,0.0014385446
NNT,0.0014043032
MKI67,0.0013915633
HDGF,0.001343807
BASP1,0.0012806124
PCBP1,0.0012337507
CTSC,0.0011187925
CUTA,0.00045207705
FABP5,0.00032692877
CAPRIN1,0.000284281
TCF4,0.00025678976
DESI2,0.000250849
HLA-DQB1,0.00020902678
LRMP,0.00020086326
CUX1,0.00017391401
B2M,0.00012463552
IGF2R,0.0
NDUFB5,0.0
ADH5,0.0
DDX39B,0.0
METTL9,0.0
NUDT5,0.0
ARHGAP31,0.0
POLR2E,0.0
AP3B1,0.0
OCIAD2,0.0
CD302,0.0
CIB2,0.0
MT1X,0.0
GRSF1,0.0
MZT1,0.0
DTYMK,0.0
CCDC18,0.0
CSF1R,0.0
ANKIB1,0.0
ANLN,0.0
SDHAF3,0.0
CYC1,0.0
TERF1,0.0
